,importance
drawdown_60,0.049218138741534426
drawdown_120,0.044624582435640076
close_to_60d_high,0.032596593072484546
price_ma_200_gap,0.031360565920338215
atr_pct_5,0.02637559129063794
atr_pct_10,0.026188857360726354
semi_vol_20,0.0223005989477286
atr_rank_252,0.021629435462605286
drawdown_20,0.018379915014325628
atr_pct_14,0.017722921005712586
ewma_vol_20,0.017107954532721556
semi_vol_10,0.0166387533259579
atr_pct_20,0.016168405136517724
ma_gap_50_200,0.015102934367556978
downside_vol_20,0.014945405065811919
realized_vol_20,0.014924968779644313
garman_klass_vol_20,0.014714815652936638
close_to_20d_high,0.014627263072653145
price_position_60,0.01449858885421741
price_position_20,0.014197243810370325
ma_gap_60_120,0.013935704558250672
ewma_vol_60,0.013528866596018253
ulcer_index_60,0.013432686497657819
parkinson_vol_20,0.013334883366294688
price_ma_120_gap,0.013333435725923794
rogers_satchell_vol_20,0.012882921721202797
yang_zhang_vol_20,0.012709955189902325
price_ma_60_gap,0.012505933724963735
downside_vol_60,0.012391642119866215
ma200_slope_60,0.012251085334730941
price_ma_20_gap,0.012163944275479415
parkinson_vol_60,0.012158181453179125
trend_slope_60,0.012058882835960488
drawdown_10,0.011869510843675853
return_120d,0.011820861435562763
keltner_width_20,0.0115388819787248
return_60d,0.01144890831215485
atr_ratio_20_60,0.01112341360460541
atr_ratio_14_60,0.011030129120237169
downside_vol_10,0.011005677501781889
realized_vol_10,0.010947523836139658
realized_vol_60,0.010510715650929746
ulcer_rank_252,0.010377581550167792
vol_of_vol_20,0.010363774318460538
ma_gap_20_60,0.010360016892379448
bb_width_20,0.010062755967997614
atr_pct_60,0.010053178489617913
bb_width_rank_252,0.010012924950431278
price_position_10,0.00980061192499956
yang_zhang_vol_60,0.009529618638124602
positive_return_ratio_20,0.00894712699453752
down_volume_ratio_20,0.008941869503360067
down_volume_ratio_10,0.00886642259132396
return_10d,0.008812701741676608
positive_return_ratio_60,0.008756841923766641
ulcer_index_20,0.00847472507981394
ma_gap_5_20,0.008455629508124918
true_range_pct,0.008365633983509998
trend_slope_10,0.008357149588665914
close_to_10d_high,0.008113391309355697
high_volume_down_ratio_20,0.008003817130440353
trend_slope_20,0.007972672249981395
return_20d,0.007886741443389694
realized_vol_ratio_10_20,0.007643676866589683
return_5d,0.00742485484515205
trend_slope_5,0.007249072807907295
drawdown_5,0.007052462653114667
trend_consistency_60,0.006787081578093219
price_position_10_minus_20,0.006784401989693473
return_10d_minus_20d,0.0063122591949909945
positive_return_ratio_10,0.006010440716925095
trend_consistency_20,0.005853848278685104
high_volume_down_ratio_10,0.005817495659155409
return_5d_minus_20d,0.0055333023492349885
volume_zscore_20,0.0048804084636173235
volume_ratio_20,0.004771948674812977
large_up_day_ratio_20,0.004745588476431467
volume_shock_rank_252,0.00451117022558243
price_position_5_minus_20,0.004085708618587223
large_up_day_ratio_10,0.0013481815818118372
large_down_day_ratio_20,0.0006539331657727922
large_down_day_ratio_10,0.0006390921232758999
bearish_ma_stack,7.260918579367359e-05
