,importance
ma_gap_50_200,0.05353666833760808
ma200_slope_60,0.052302979434552116
price_ma_200_gap,0.049006896251018
ma_gap_60_120,0.0487960550267922
trend_slope_60,0.04593781876795378
positive_return_ratio_60,0.043223499028485206
drawdown_120,0.039341469899111886
return_120d,0.03723001273788719
ma_gap_20_60,0.03576530128835686
return_60d,0.033572261189138294
price_ma_120_gap,0.030326812599909433
down_volume_ratio_20,0.02993473789602932
drawdown_60,0.028673626791310705
trend_slope_20,0.028540884049901266
price_ma_60_gap,0.027720989404134876
trend_consistency_60,0.026214084127873537
high_volume_down_ratio_20,0.024396442447531235
return_20d,0.023916435490733304
positive_return_ratio_20,0.023410801397634684
close_to_60d_high,0.023395227807047794
price_position_60,0.022981319399338052
price_ma_20_gap,0.01982576205421263
large_up_day_ratio_20,0.019542972730021806
ma_gap_5_20,0.018584293651252262
trend_slope_10,0.017836154317404773
large_down_day_ratio_20,0.017825938801425287
price_position_10_minus_20,0.015288225187557854
trend_slope_5,0.014867221629376419
drawdown_10,0.014791962347757478
positive_return_ratio_10,0.01456307713034755
return_5d,0.014358075853311992
return_10d,0.013102581446190247
price_position_10,0.010117694990763012
drawdown_20,0.00970828607306531
volume_ratio_20,0.009142398082523926
price_position_5_minus_20,0.008563937388114735
price_position_20,0.007398195441402052
volume_shock_rank_252,0.007141618048716203
volume_zscore_20,0.0070696082582597025
trend_consistency_20,0.006536952812605286
drawdown_5,0.005906870224746868
large_down_day_ratio_10,0.005747823675471683
close_to_10d_high,0.004442429965055208
large_up_day_ratio_10,0.004298180430302478
close_to_20d_high,0.0025957800556040767
bearish_ma_stack,0.002519634665943505
