,importance
ma_gap_60_120,0.04445293293910667
ma_gap_50_200,0.037100732050970774
ma200_slope_60,0.03599650941449503
return_120d,0.03178526400057706
price_ma_200_gap,0.030288490213513722
positive_return_ratio_60,0.02923798882866755
price_ma_120_gap,0.029142395482200233
trend_slope_60,0.028664897122364284
ma_gap_20_60,0.02839811341152313
drawdown_120,0.026875710771751722
price_ma_60_gap,0.02671363898747108
return_60d,0.02519819020674064
large_up_day_ratio_20,0.02395133356189247
trend_consistency_60,0.023856253112909405
trend_slope_20,0.022561274779185646
positive_return_ratio_20,0.02186178983320261
drawdown_60,0.019972770725643893
large_down_day_ratio_20,0.019935473385951183
ma_gap_5_20,0.017220581563439752
price_position_60,0.016850270016461357
price_ma_20_gap,0.016057637707666803
trend_slope_10,0.016009373813120214
return_10d,0.01538609732581211
drawdown_20,0.015231521947134431
return_20d,0.013957328731587323
large_up_day_ratio_10,0.01321581211892982
return_5d,0.012753661791566869
trend_slope_5,0.011618546132362535
large_down_day_ratio_10,0.011333098616778508
trend_consistency_20,0.010477939326393317
yang_zhang_vol_60,0.010457107720598019
ulcer_index_60,0.010388677313963257
atr_pct_60,0.00997305894516921
downside_vol_60,0.009680849113027325
down_volume_ratio_20,0.009659473914696178
price_position_20,0.009642563405747704
realized_vol_60,0.009482805935396589
drawdown_10,0.009210426801154454
parkinson_vol_60,0.008937394014860272
price_position_10_minus_20,0.00883517325340668
close_to_60d_high,0.008718120215794916
ewma_vol_60,0.008610400779836366
high_volume_down_ratio_20,0.008333913244386499
positive_return_ratio_10,0.008120185863256423
bb_width_rank_252,0.008085269519338151
atr_rank_252,0.00798572947511801
atr_ratio_20_60,0.007746160451266948
atr_ratio_14_60,0.007711763909870696
ulcer_index_20,0.0076427905263077
price_position_10,0.0075902941640488214
bb_width_20,0.0075756867327762285
ulcer_rank_252,0.007544467399613682
downside_vol_20,0.007469505016204148
vol_of_vol_20,0.007464909631322834
yang_zhang_vol_20,0.0071452217522722785
realized_vol_20,0.006942432274670518
downside_vol_10,0.006303129005100089
semi_vol_20,0.0062552742632122375
semi_vol_10,0.005677363741547494
drawdown_5,0.005628849366135233
ewma_vol_20,0.005500610397460165
price_position_5_minus_20,0.005368239136659353
rogers_satchell_vol_20,0.005318675626331499
atr_pct_14,0.005254393166285896
realized_vol_10,0.005138127414450921
atr_pct_20,0.004968433748907389
atr_pct_10,0.004817461121039559
parkinson_vol_20,0.00477454234965842
volume_ratio_20,0.004761364939214511
close_to_20d_high,0.004724957882894804
keltner_width_20,0.0046998894140222874
garman_klass_vol_20,0.004446770400279062
volume_shock_rank_252,0.004209313351936914
volume_zscore_20,0.004130853450926715
realized_vol_ratio_10_20,0.003962319336980528
atr_pct_5,0.002744969985646675
close_to_10d_high,0.0020660096870318903
true_range_pct,0.0015160322783572757
bearish_ma_stack,0.0006724128907594035
