,importance
yang_zhang_vol_60,0.04705698474269108
ulcer_index_60,0.04674904791283466
atr_pct_60,0.04487876525326144
downside_vol_60,0.04356382100862296
realized_vol_60,0.04267262670928464
parkinson_vol_60,0.04021827306687122
ewma_vol_60,0.03874680350926365
bb_width_rank_252,0.03638371283702168
atr_rank_252,0.035935782638031044
atr_ratio_20_60,0.03485772203070126
atr_ratio_14_60,0.03470293759441813
ulcer_index_20,0.034392557368384646
bb_width_20,0.03409059029749303
ulcer_rank_252,0.033950103298261564
downside_vol_20,0.03361277257291866
vol_of_vol_20,0.03359209334095275
yang_zhang_vol_20,0.03215349788522525
realized_vol_20,0.03124094523601733
downside_vol_10,0.028364080522950398
semi_vol_20,0.028148734184455067
semi_vol_10,0.02554813683696372
ewma_vol_20,0.02475274678857074
rogers_satchell_vol_20,0.023934040318491744
atr_pct_14,0.02364476924828653
realized_vol_10,0.023121573365029142
atr_pct_20,0.02235795187008325
atr_pct_10,0.021678575044678013
parkinson_vol_20,0.02148544057346289
keltner_width_20,0.021149502363100293
garman_klass_vol_20,0.020010466801255778
realized_vol_ratio_10_20,0.017830437016412376
atr_pct_5,0.012352364935410035
true_range_pct,0.00682214525260774
