start_date,trough_date,recovery_date,depth,duration_days,days_to_trough,avg_stock_weight,avg_prob_high_vol,avg_prob_down_risk,trough_regime
2021-11-16,2022-12-23,2024-04-24,-0.4040565279240702,611,278,0.7399019607843136,0.586731600238525,0.4738591431525867,RISK_OFF
2025-01-31,2025-04-04,2025-08-27,-0.2662387772721124,143,44,0.76625,0.6213646813469442,0.4780976738207258,CUSTOM
2018-07-24,2018-12-20,2019-10-22,-0.1976111006807657,314,104,0.7594920634920633,0.5785339043099451,0.45037063438825287,CUSTOM
2014-02-24,2015-01-08,2015-07-15,-0.16535389482102514,350,221,0.8335612535612535,0.47802382171075897,0.4868663872104158,WATCH
2026-01-29,2026-03-26,2026-04-22,-0.16483875458016406,57,39,0.7789655172413791,0.40529124539422196,0.5329984497915062,CUSTOM
2024-07-08,2024-09-05,2024-12-09,-0.157214645894021,108,42,0.7930275229357797,0.5967011349167836,0.45430937953021217,CUSTOM
2020-02-14,2020-03-16,2020-04-27,-0.1449040352523242,49,20,0.6259999999999999,0.7626948665986572,0.4909266700843583,RISK_OFF
2018-01-24,2018-03-26,2018-06-14,-0.1336401027301648,98,42,0.8408080808080808,0.5363210447133078,0.43200677652864145,NORMAL
2016-04-14,2016-06-23,2016-07-27,-0.12263381883552893,72,49,0.8923287671232877,0.3842839021416499,0.45003887503609363,NORMAL
2020-08-31,2020-09-21,2020-11-02,-0.10545903852698735,44,14,0.7315555555555556,0.6705384443623904,0.5567053293954276,HIGH_VOL
