,importance
ulcer_index_20,0.02190861746514981
price_ma_120_gap,0.02168832226108486
price_ma_200_gap,0.021527939683957293
drawdown_60,0.01992258015232235
drawdown_120,0.019676131844919707
parkinson_vol_20,0.019567041667046613
ma_gap_60_120,0.01860649442708578
ma_gap_50_200,0.018419888223289736
ulcer_rank_252,0.018407242760221133
garman_klass_vol_20,0.01789681743884146
ulcer_index_60,0.017853162407095263
return_120d,0.017390585931732656
trend_slope_60,0.017184691853120937
atr_pct_5,0.01698862086673866
ma_gap_20_60,0.01692673077530575
downside_vol_60,0.01651085442161217
ma200_slope_60,0.016044709472990935
rogers_satchell_vol_20,0.015746477980832826
semi_vol_20,0.01572157568121867
parkinson_vol_60,0.015414575410850664
downside_vol_20,0.015380894806603753
atr_rank_252,0.015016888695335804
atr_pct_10,0.014940938657615796
semi_vol_10,0.014687782015821467
price_ma_60_gap,0.014646029263357854
yang_zhang_vol_60,0.014580557729329615
atr_pct_14,0.014555046926120883
atr_pct_60,0.01445816751719042
realized_vol_60,0.01439324067902658
price_position_60,0.014390602258370362
large_down_day_ratio_20,0.013966446918655291
close_to_60d_high,0.013930058049958288
ewma_vol_60,0.013864935240163172
downside_vol_10,0.013678101659717782
vol_of_vol_20,0.013671510293505211
return_60d,0.013473555325473417
yang_zhang_vol_20,0.013137205683701072
bb_width_20,0.013016040480910386
atr_pct_20,0.012716903447076293
down_volume_ratio_20,0.0124993420098228
atr_ratio_14_60,0.012447724360667746
realized_vol_20,0.012310461705229023
bb_width_rank_252,0.011710119544803756
atr_ratio_20_60,0.011571481189729104
realized_vol_10,0.011275818865489408
true_range_pct,0.010850697788901882
keltner_width_20,0.010607248371964069
ewma_vol_20,0.010270516631906156
positive_return_ratio_60,0.010238361753484545
down_volume_ratio_10,0.010203793035572513
trend_slope_20,0.010187518486360667
realized_vol_ratio_10_20,0.010183145663639094
return_20d,0.010018530100274975
price_ma_20_gap,0.009421795224856368
high_volume_down_ratio_20,0.009383589027117797
volume_ratio_20,0.00935408432168414
trend_slope_10,0.009307324238328701
volume_zscore_20,0.00923967620657629
price_position_20,0.008853512405241619
volume_shock_rank_252,0.008799030391873968
drawdown_20,0.008779510811412669
positive_return_ratio_20,0.008753315774695708
drawdown_10,0.008389152307860593
price_position_10,0.008239832336599532
return_10d,0.008187677887026295
large_up_day_ratio_20,0.008083239898244048
return_5d_minus_20d,0.007852438083708486
price_position_10_minus_20,0.007453908683637276
ma_gap_5_20,0.007378735053703528
return_5d,0.007360325263150679
return_10d_minus_20d,0.007251491719741699
trend_consistency_60,0.007081424682202475
drawdown_5,0.006773161824625392
high_volume_down_ratio_10,0.00677162077058061
trend_slope_5,0.0059704925197546265
positive_return_ratio_10,0.005834946223027752
large_down_day_ratio_10,0.005488547806303287
trend_consistency_20,0.0053733072767470965
price_position_5_minus_20,0.005183556189068541
close_to_10d_high,0.004392685605876428
close_to_20d_high,0.0043162267424382405
large_up_day_ratio_10,0.004192296269008823
bearish_ma_stack,0.0002503670023990765
