feature,stage1_importance,downrisk_importance,mean_importance,max_importance,importance_gap_stage1_minus_downrisk,is_low_importance_candidate,used_more_by,stage1_rank,downrisk_rank,mean_rank
drawdown_60,0.03144172250095936,0.025201488068055056,0.02832160528450721,0.03144172250095936,0.006240234432904307,False,stage1,1,12,1
ma_gap_50_200,0.016055334912726676,0.040562721715753036,0.028309028314239856,0.040562721715753036,-0.02450738680302636,False,downrisk,14,2,2
ma200_slope_60,0.014813675062171006,0.039621440363379376,0.02721755771277519,0.039621440363379376,-0.02480776530120837,False,downrisk,20,3,3
ma_gap_60_120,0.012484256411505431,0.041447433970935935,0.026965845191220684,0.041447433970935935,-0.0289631775594305,False,downrisk,35,1,4
drawdown_120,0.030076071259250128,0.02316245595494723,0.02661926360709868,0.030076071259250128,0.006913615304302897,False,stage1,2,14,5
price_ma_200_gap,0.023108159773405603,0.029477132131118487,0.026292645952262043,0.029477132131118487,-0.006368972357712884,False,downrisk,6,7,6
trend_slope_60,0.013386067038012813,0.03670615002317264,0.025046108530592727,0.03670615002317264,-0.023320082985159824,False,downrisk,27,4,7
ma_gap_20_60,0.013140473441342778,0.033467514971446705,0.023303994206394743,0.033467514971446705,-0.020327041530103927,False,downrisk,29,5,8
return_120d,0.014431537461022676,0.03113120517119494,0.022781371316108807,0.03113120517119494,-0.016699667710172263,False,downrisk,23,6,9
price_ma_120_gap,0.01898605180747201,0.02506744629698637,0.02202674905222919,0.02506744629698637,-0.00608139448951436,False,downrisk,11,13,10
close_to_60d_high,0.02186129242170229,0.017310477435000908,0.0195858849283516,0.02186129242170229,0.004550814986701381,False,stage1,7,18,11
return_60d,0.012728656266012372,0.025955830247327644,0.019342243256670007,0.025955830247327644,-0.013227173981315272,False,downrisk,33,10,12
positive_return_ratio_60,0.011059871653395973,0.02645046674157158,0.018755169197483778,0.02645046674157158,-0.015390595088175607,False,downrisk,44,9,13
price_ma_60_gap,0.015458157262429946,0.021708885425845665,0.018583521344137807,0.021708885425845665,-0.006250728163415719,False,downrisk,16,16,14
large_up_day_ratio_20,0.006591243690236875,0.02669954121450854,0.016645392452372707,0.02669954121450854,-0.020108297524271665,False,downrisk,71,8,15
trend_slope_20,0.010455766070446685,0.022693627950489726,0.016574697010468206,0.022693627950489726,-0.012237861880043041,False,downrisk,50,15,16
large_down_day_ratio_20,0.005846949963713073,0.025866126768953966,0.01585653836633352,0.025866126768953966,-0.020019176805240894,False,downrisk,74,11,17
atr_pct_20,0.025538875282989697,0.004842032527567892,0.015190453905278794,0.025538875282989697,0.020696842755421805,False,stage1,4,66,18
