,importance
drawdown_60,0.03144172250095936
drawdown_120,0.030076071259250128
atr_pct_14,0.025997090859019654
atr_pct_20,0.025538875282989697
atr_pct_10,0.024349404588355307
price_ma_200_gap,0.023108159773405603
close_to_60d_high,0.02186129242170229
semi_vol_20,0.02153319966520131
atr_pct_5,0.019855480049926204
semi_vol_10,0.01963546324080357
price_ma_120_gap,0.01898605180747201
parkinson_vol_20,0.01858201451771507
drawdown_20,0.016540503522380262
ma_gap_50_200,0.016055334912726676
price_position_60,0.015997239597767013
price_ma_60_gap,0.015458157262429946
downside_vol_10,0.015285390872801173
rogers_satchell_vol_20,0.01506098906747144
garman_klass_vol_20,0.015052958345879434
ma200_slope_60,0.014813675062171006
ewma_vol_60,0.014711118928394244
keltner_width_20,0.01468215764073951
return_120d,0.014431537461022676
downside_vol_20,0.013997210636651809
ulcer_index_60,0.013555682566105148
atr_pct_60,0.013550264968332143
trend_slope_60,0.013386067038012813
yang_zhang_vol_60,0.013315241921638575
ma_gap_20_60,0.013140473441342778
ewma_vol_20,0.013098236416269737
close_to_20d_high,0.012944408921049174
atr_rank_252,0.01284007936195098
return_60d,0.012728656266012372
yang_zhang_vol_20,0.012672834664246894
ma_gap_60_120,0.012484256411505431
parkinson_vol_60,0.01234175085477228
downside_vol_60,0.012331500543293968
ulcer_index_20,0.011992724016304164
price_position_20,0.011961669820887018
ulcer_rank_252,0.011879739938728836
vol_of_vol_20,0.011153691265044183
realized_vol_60,0.011144766963103134
realized_vol_10,0.011138687149771917
positive_return_ratio_60,0.011059871653395973
bb_width_rank_252,0.010929920006587747
drawdown_10,0.01090795054798426
realized_vol_20,0.010757388709039549
down_volume_ratio_20,0.010693903483642648
bb_width_20,0.01060696526352937
trend_slope_20,0.010455766070446685
return_20d,0.010344160904683772
atr_ratio_14_60,0.010209996831329749
price_position_10,0.010199464208101614
atr_ratio_20_60,0.01010694390546026
price_ma_20_gap,0.010100254315855435
down_volume_ratio_10,0.009183525366559421
ma_gap_5_20,0.008974714104797818
true_range_pct,0.008873460644882212
trend_consistency_60,0.008310288450090974
return_5d_minus_20d,0.008222709395225153
return_10d,0.008128212371365596
price_position_10_minus_20,0.007903353861091466
return_5d,0.007661226948601195
trend_slope_5,0.007600637607105281
positive_return_ratio_20,0.007442392138020498
realized_vol_ratio_10_20,0.007358017807082289
close_to_10d_high,0.0072697774394616735
high_volume_down_ratio_20,0.007190476525422474
trend_slope_10,0.0066927038907387834
return_10d_minus_20d,0.0066883140011885275
large_up_day_ratio_20,0.006591243690236875
drawdown_5,0.006557310958775422
price_position_5_minus_20,0.006049930537351934
large_down_day_ratio_20,0.005846949963713073
high_volume_down_ratio_10,0.004914047963485779
volume_shock_rank_252,0.004486440526119305
volume_ratio_20,0.004376082564011172
large_up_day_ratio_10,0.004040825492709354
trend_consistency_20,0.0038556236580328165
volume_zscore_20,0.0036642906664686357
positive_return_ratio_10,0.0031209217033017285
large_down_day_ratio_10,0.0015061679635451468
bearish_ma_stack,0.00040593460809239853
