model,prob_col,actual_col,positive_value,threshold,precision,recall,f1,pred_positive_ratio,support_positive,support_negative
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.1,0.473992673992674,1.0,0.643141153081511,1.0,1294,1436
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.15,0.4741506646971935,0.9922720247295209,0.6416791604197901,0.991941391941392,1294,1436
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.2,0.4839706450366937,0.9683153013910355,0.6453772856039145,0.9483516483516483,1294,1436
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.25,0.5029711375212224,0.9157650695517774,0.6493150684931507,0.863003663003663,1294,1436
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.3,0.5220902612826603,0.8493044822256569,0.6466607825831127,0.7710622710622711,1294,1436
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.35,0.5412147505422994,0.7712519319938176,0.6360739324410453,0.6754578754578755,1294,1436
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.4,0.5730267246737104,0.7125193199381762,0.6352049603858078,0.5893772893772894,1294,1436
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.45,0.5992932862190813,0.6553323029366306,0.6260612772240679,0.5183150183150184,1294,1436
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.5,0.6446700507614214,0.58887171561051,0.6155088852988692,0.432967032967033,1294,1436
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.55,0.6792260692464358,0.5154559505409583,0.5861159929701231,0.3597069597069597,1294,1436
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.6,0.7348777348777349,0.4412673879443586,0.5514244326412361,0.2846153846153846,1294,1436
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.65,0.764797507788162,0.3794435857805255,0.5072314049586777,0.23516483516483516,1294,1436
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.7,0.7868852459016393,0.29675425038639874,0.43097643097643096,0.17875457875457876,1294,1436
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.75,0.7828418230563002,0.22565687789799072,0.35032993401319734,0.13663003663003662,1294,1436
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.8,0.7956204379562044,0.16846986089644514,0.2780612244897959,0.10036630036630037,1294,1436
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.85,0.8402777777777778,0.09350850077279753,0.16828929068150209,0.05274725274725275,1294,1436
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.9,0.8695652173913043,0.030911901081916538,0.05970149253731343,0.01684981684981685,1294,1436
overall_risk_highvol,prob_overall_risk,actual_risk,고변동,0.1,0.473992673992674,1.0,0.643141153081511,1.0,1294,1436
overall_risk_highvol,prob_overall_risk,actual_risk,고변동,0.15,0.4741506646971935,0.9922720247295209,0.6416791604197901,0.991941391941392,1294,1436
overall_risk_highvol,prob_overall_risk,actual_risk,고변동,0.2,0.4839706450366937,0.9683153013910355,0.6453772856039145,0.9483516483516483,1294,1436
overall_risk_highvol,prob_overall_risk,actual_risk,고변동,0.25,0.5029711375212224,0.9157650695517774,0.6493150684931507,0.863003663003663,1294,1436
overall_risk_highvol,prob_overall_risk,actual_risk,고변동,0.3,0.5220902612826603,0.8493044822256569,0.6466607825831127,0.7710622710622711,1294,1436
overall_risk_highvol,prob_overall_risk,actual_risk,고변동,0.35,0.5412147505422994,0.7712519319938176,0.6360739324410453,0.6754578754578755,1294,1436
overall_risk_highvol,prob_overall_risk,actual_risk,고변동,0.4,0.5730267246737104,0.7125193199381762,0.6352049603858078,0.5893772893772894,1294,1436
overall_risk_highvol,prob_overall_risk,actual_risk,고변동,0.45,0.5992932862190813,0.6553323029366306,0.6260612772240679,0.5183150183150184,1294,1436
overall_risk_highvol,prob_overall_risk,actual_risk,고변동,0.5,0.6446700507614214,0.58887171561051,0.6155088852988692,0.432967032967033,1294,1436
overall_risk_highvol,prob_overall_risk,actual_risk,고변동,0.55,0.6792260692464358,0.5154559505409583,0.5861159929701231,0.3597069597069597,1294,1436
overall_risk_highvol,prob_overall_risk,actual_risk,고변동,0.6,0.7348777348777349,0.4412673879443586,0.5514244326412361,0.2846153846153846,1294,1436
overall_risk_highvol,prob_overall_risk,actual_risk,고변동,0.65,0.764797507788162,0.3794435857805255,0.5072314049586777,0.23516483516483516,1294,1436
overall_risk_highvol,prob_overall_risk,actual_risk,고변동,0.7,0.7868852459016393,0.29675425038639874,0.43097643097643096,0.17875457875457876,1294,1436
overall_risk_highvol,prob_overall_risk,actual_risk,고변동,0.75,0.7828418230563002,0.22565687789799072,0.35032993401319734,0.13663003663003662,1294,1436
overall_risk_highvol,prob_overall_risk,actual_risk,고변동,0.8,0.7956204379562044,0.16846986089644514,0.2780612244897959,0.10036630036630037,1294,1436
