start_date,trough_date,recovery_date,depth,duration_days,days_to_trough,avg_stock_weight,avg_prob_high_vol,avg_prob_down_risk,trough_regime
2021-12-08,2022-11-01,2023-07-14,-0.32776459965770965,400,226,0.7350623441396509,0.6248784831991921,0.5396029717289643,CUSTOM
2025-10-24,2026-03-25,not_recovered,-0.31666760089874924,133,103,0.8425373134328357,0.55761421066257,0.500143311135422,CUSTOM
2024-07-02,2025-04-04,2025-06-10,-0.19980503658569826,235,190,0.8528813559322034,0.5715777415628258,0.4751818470126911,CUSTOM
2020-02-06,2020-03-12,2020-04-14,-0.18696503650481944,46,24,0.7106382978723403,0.7184668679674168,0.4781464297210534,CUSTOM
2018-09-27,2018-12-20,2019-03-07,-0.16357852498804037,109,58,0.870181818181818,0.650208713864971,0.44515846525862096,WATCH
2014-11-11,2015-03-31,2015-04-22,-0.15593502137996773,110,95,0.8326126126126127,0.4729476725786295,0.4095210893633707,NORMAL
2015-04-24,2015-08-21,2015-10-15,-0.1242031129477622,121,83,0.7586885245901638,0.6005043699484683,0.49986401400706204,CUSTOM
2023-07-14,2023-09-29,2023-11-02,-0.10833402011414284,78,54,0.8817721518987336,0.3906717470956896,0.48652032409386325,NORMAL
2016-04-14,2016-06-23,2016-07-18,-0.10826172489246133,65,49,0.9251515151515151,0.5229783181508705,0.45380509617528125,NORMAL
2013-07-12,2013-09-04,2013-10-23,-0.1039954348688037,72,37,0.8208219178082192,0.45860637577426344,0.5030472997681639,CUSTOM
