model,prob_col,actual_col,positive_value,threshold,precision,recall,f1,pred_positive_ratio,support_positive,support_negative
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.1,0.44652963955913016,1.0,0.6173805601317958,1.0,1499,1858
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.15,0.44517478338810873,0.9939959973315544,0.6149401568303756,0.9970211498361632,1499,1858
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.2,0.44766214177978886,0.989993328885924,0.6165351059410054,0.9874888293118856,1499,1858
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.25,0.4553072625698324,0.9786524349566378,0.6214785003177293,0.9597855227882037,1499,1858
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.3,0.4697720515361744,0.9486324216144096,0.6283694211224039,0.9016979445933869,1499,1858
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.35,0.48602540834845737,0.8932621747831888,0.6295251527973672,0.8206732201370271,1499,1858
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.4,0.5135360266555602,0.8225483655770514,0.6323076923076923,0.7152219243372059,1499,1858
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.45,0.5408653846153846,0.7505003335557038,0.6286672254819782,0.6196008340780459,1499,1858
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.5,0.5702718334297282,0.6577718478985991,0.61090458488228,0.5150431933273756,1499,1858
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.55,0.6136363636363636,0.5583722481654436,0.5847013622074747,0.40631516234733395,1499,1858
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.6,0.6455938697318008,0.4496330887258172,0.5300825796303579,0.3109919571045576,1499,1858
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.65,0.6941747572815534,0.3815877251501001,0.49246663796814466,0.24545725350014894,1499,1858
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.7,0.7418772563176895,0.2741827885256838,0.4003896736483195,0.16502829907655645,1499,1858
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.75,0.7813620071684588,0.14543028685790527,0.2452193475815523,0.08310991957104558,1499,1858
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.8,0.7469879518072289,0.04136090727151434,0.07838179519595449,0.0247244563598451,1499,1858
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.85,0.8421052631578947,0.01067378252168112,0.021080368906455864,0.005659815311289842,1499,1858
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.9,0.0,0.0,0.0,0.0,1499,1858
overall_risk_highvol,prob_overall_risk,actual_risk,고변동,0.1,0.44652963955913016,1.0,0.6173805601317958,1.0,1499,1858
