,importance
ma200_slope_60,0.05482867465812772
ma_gap_50_200,0.05193503949761627
ma_gap_60_120,0.04910464555169234
trend_slope_60,0.04483860569711584
return_120d,0.03915618489670109
ma_gap_20_60,0.03879503347793832
return_20d,0.03720200560582314
price_ma_200_gap,0.036777798836925606
price_ma_120_gap,0.03486123778543154
large_up_day_ratio_20,0.032797672163089
trend_slope_20,0.03198137778264705
large_down_day_ratio_20,0.03185050909537711
return_60d,0.03170543289288328
price_ma_60_gap,0.03075951530892838
ma_gap_5_20,0.029586005420169963
drawdown_120,0.029453020154577975
drawdown_60,0.028744634820632487
price_ma_20_gap,0.026740662455325484
positive_return_ratio_60,0.026168320279606316
positive_return_ratio_20,0.02602235559791711
drawdown_20,0.025885486621677594
trend_slope_10,0.024565835665328897
price_position_60,0.02155273338218057
return_10d,0.021130980016702477
trend_consistency_60,0.017872728876739977
price_position_20,0.017753689918049893
large_down_day_ratio_10,0.01748582839112108
return_5d,0.015434843153747756
large_up_day_ratio_10,0.01529266143478751
price_position_10_minus_20,0.014555149604030515
drawdown_10,0.01285672688760632
trend_slope_5,0.01262897453668143
trend_consistency_20,0.01184937073146954
price_position_10,0.010167343019034773
close_to_60d_high,0.009836417741589396
close_to_20d_high,0.009213246746979181
price_position_5_minus_20,0.008396565380728192
positive_return_ratio_10,0.007394328976304331
drawdown_5,0.0063887985482411055
close_to_10d_high,0.003727556509335363
bearish_ma_stack,0.002702002457919575
