,importance
ewma_vol_60,0.027186763984878952
yang_zhang_vol_60,0.026573018678593345
atr_pct_14,0.02323971691496101
atr_pct_20,0.02322475756071591
parkinson_vol_20,0.021811722837926012
atr_pct_60,0.019974856662826376
atr_pct_10,0.019876564839958318
semi_vol_20,0.019836944027788593
realized_vol_60,0.01955724944872643
parkinson_vol_60,0.018990210340508917
garman_klass_vol_20,0.018550564877708144
keltner_width_20,0.01796904880122008
price_ma_200_gap,0.0166942325643807
downside_vol_20,0.016227634725719472
rogers_satchell_vol_20,0.016226738357328855
ma200_slope_60,0.01594367226408351
downside_vol_60,0.01578423453114709
atr_rank_252,0.015774280080316363
drawdown_120,0.015761106926863375
ma_gap_50_200,0.015449010458911606
semi_vol_10,0.01532296940462806
ulcer_index_60,0.015263787948892318
ulcer_index_20,0.015057121053201079
downside_vol_10,0.014555626532657899
realized_vol_20,0.014541964363738698
vol_of_vol_20,0.01434290557760202
yang_zhang_vol_20,0.014285682646870902
ma_gap_60_120,0.014149151027335652
bb_width_20,0.014033428551570862
bb_width_rank_252,0.014021525111087296
atr_ratio_20_60,0.013690413133551215
ma_gap_20_60,0.013649506983624417
drawdown_60,0.01351450412060345
ewma_vol_20,0.013117056288022483
trend_slope_60,0.01303995534071296
atr_pct_5,0.013006087759946702
price_ma_120_gap,0.012929028004734954
return_120d,0.012697371362712205
ulcer_rank_252,0.012260902837234815
price_ma_20_gap,0.01225318578107839
price_ma_60_gap,0.012194353014343679
atr_ratio_14_60,0.012090755977653085
down_volume_ratio_20,0.01197509747460514
positive_return_ratio_60,0.011752618353923373
realized_vol_10,0.011570690035388532
return_60d,0.011112229937950923
high_volume_down_ratio_20,0.01098942866895139
trend_slope_20,0.010883352162203491
return_20d,0.010470480707948492
price_position_60,0.009906580810878488
drawdown_20,0.00962576293665142
close_to_60d_high,0.009545296361639408
price_position_20,0.009493195888584495
large_up_day_ratio_20,0.009475505530847132
realized_vol_ratio_10_20,0.009393078701621215
ma_gap_5_20,0.00880968467335772
down_volume_ratio_10,0.00861200498963756
return_5d_minus_20d,0.008301065535984918
positive_return_ratio_20,0.008235043093961957
trend_consistency_60,0.008183875369020767
drawdown_10,0.008075067887664282
return_10d_minus_20d,0.008033930182425557
large_up_day_ratio_10,0.0074917305688965525
true_range_pct,0.007411322337314607
return_10d,0.007301845643572354
large_down_day_ratio_20,0.007150432339679514
trend_slope_10,0.006870571268951578
price_position_10,0.006665726524961284
trend_slope_5,0.006600862568362457
volume_ratio_20,0.006598888766737738
return_5d,0.006440378356735834
volume_shock_rank_252,0.006304173680306006
volume_zscore_20,0.006119245511165048
price_position_10_minus_20,0.0060094856495226615
drawdown_5,0.005643489008483422
close_to_20d_high,0.005558051480045198
large_down_day_ratio_10,0.005555561453100323
trend_consistency_20,0.004684220119954608
high_volume_down_ratio_10,0.0045810930513119
price_position_5_minus_20,0.004510471591698112
positive_return_ratio_10,0.004484431294836141
close_to_10d_high,0.004403692811932174
bearish_ma_stack,0.0005007226025641319
