,importance
ma200_slope_60,0.05098157342604642
ma_gap_50_200,0.05095944840309491
ma_gap_60_120,0.04773390961204386
trend_slope_60,0.0443509611678088
return_120d,0.03560266870550145
ma_gap_20_60,0.035560034932594076
price_ma_200_gap,0.03453650904240988
price_ma_120_gap,0.03242022113085517
down_volume_ratio_20,0.0322284644695058
high_volume_down_ratio_20,0.03215843486869412
return_60d,0.0318497047444994
return_20d,0.031009234164865496
trend_slope_20,0.030163307424767742
large_up_day_ratio_20,0.029999089219407842
large_down_day_ratio_20,0.026652835099773096
ma_gap_5_20,0.026643726139261
drawdown_120,0.02657511156599318
price_ma_60_gap,0.02600736822886762
drawdown_60,0.024730434724280336
trend_slope_10,0.02432263056632817
positive_return_ratio_60,0.02400193684401789
drawdown_20,0.02348703925640115
price_ma_20_gap,0.022977391221848803
price_position_60,0.02003691786630375
return_10d,0.018793305028324655
positive_return_ratio_20,0.016885498888321252
close_to_60d_high,0.016171162262917423
large_down_day_ratio_10,0.015998289031105943
price_position_10_minus_20,0.015735806139428096
large_up_day_ratio_10,0.015598153799868352
price_position_20,0.014455537480812165
return_5d,0.013326711294269891
drawdown_10,0.0131562439697547
trend_slope_5,0.010695400034097791
volume_ratio_20,0.009754782374084387
price_position_10,0.008950492982948494
volume_shock_rank_252,0.008906469498585451
trend_consistency_60,0.008725469725923465
close_to_20d_high,0.008625435123071333
positive_return_ratio_10,0.008202128058728126
price_position_5_minus_20,0.00803961031164767
volume_zscore_20,0.007440913933105693
drawdown_5,0.006177267390797617
close_to_10d_high,0.0038844629459726136
trend_consistency_20,0.00342095863547117
bearish_ma_stack,0.0020669468083522385
