model,prob_col,actual_col,positive_value,threshold,precision,recall,f1,pred_positive_ratio,support_positive,support_negative
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.1,0.4399761691986893,1.0,0.6110881257757551,1.0,1477,1880
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.15,0.45059042883778744,0.9817197020988491,0.617678381256656,0.958593982722669,1477,1880
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.2,0.48155737704918034,0.9546377792823291,0.6401816118047673,0.872207327971403,1477,1880
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.25,0.5195206803247004,0.909952606635071,0.6614173228346457,0.7706285373845696,1477,1880
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.3,0.5564798598949212,0.8605280974949221,0.6758840733847381,0.6803693774203158,1477,1880
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.35,0.5942744323790721,0.8151658767772512,0.687410790750785,0.6035150431933274,1477,1880
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.4,0.6334261838440112,0.7698036560595802,0.6949877750611247,0.5347036044086982,1477,1880
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.45,0.6590062111801243,0.7183480027081923,0.687398769031422,0.4795948763777182,1477,1880
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.5,0.6960716747070985,0.6838185511171293,0.6898907103825137,0.43223115877271373,1477,1880
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.55,0.714828897338403,0.6364251861882194,0.673352435530086,0.3917187965445338,1477,1880
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.6,0.7536363636363637,0.5612728503723764,0.643383779588669,0.3276735180220435,1477,1880
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.65,0.7965179542981502,0.4955991875423155,0.6110183639398998,0.27375633005659816,1477,1880
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.7,0.8326898326898327,0.4380501015572106,0.5740905057675244,0.23145665773011617,1477,1880
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.75,0.8459119496855346,0.36425186188219366,0.5092285849503077,0.18945487042001788,1477,1880
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.8,0.8662551440329218,0.28503723764387273,0.42893530310748856,0.1447721179624665,1477,1880
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.85,0.9059233449477352,0.17603249830737983,0.2947845804988662,0.08549299970211498,1477,1880
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.9,0.8846153846153846,0.03114421123899797,0.060170045781556575,0.015490020851951147,1477,1880
overall_risk_highvol,prob_overall_risk,actual_risk,고변동,0.1,0.4399761691986893,1.0,0.6110881257757551,1.0,1477,1880
overall_risk_highvol,prob_overall_risk,actual_risk,고변동,0.15,0.45059042883778744,0.9817197020988491,0.617678381256656,0.958593982722669,1477,1880
overall_risk_highvol,prob_overall_risk,actual_risk,고변동,0.2,0.48155737704918034,0.9546377792823291,0.6401816118047673,0.872207327971403,1477,1880
overall_risk_highvol,prob_overall_risk,actual_risk,고변동,0.25,0.5195206803247004,0.909952606635071,0.6614173228346457,0.7706285373845696,1477,1880
overall_risk_highvol,prob_overall_risk,actual_risk,고변동,0.3,0.5564798598949212,0.8605280974949221,0.6758840733847381,0.6803693774203158,1477,1880
overall_risk_highvol,prob_overall_risk,actual_risk,고변동,0.35,0.5942744323790721,0.8151658767772512,0.687410790750785,0.6035150431933274,1477,1880
overall_risk_highvol,prob_overall_risk,actual_risk,고변동,0.4,0.6334261838440112,0.7698036560595802,0.6949877750611247,0.5347036044086982,1477,1880
overall_risk_highvol,prob_overall_risk,actual_risk,고변동,0.45,0.6590062111801243,0.7183480027081923,0.687398769031422,0.4795948763777182,1477,1880
overall_risk_highvol,prob_overall_risk,actual_risk,고변동,0.5,0.6960716747070985,0.6838185511171293,0.6898907103825137,0.43223115877271373,1477,1880
overall_risk_highvol,prob_overall_risk,actual_risk,고변동,0.55,0.714828897338403,0.6364251861882194,0.673352435530086,0.3917187965445338,1477,1880
overall_risk_highvol,prob_overall_risk,actual_risk,고변동,0.6,0.7536363636363637,0.5612728503723764,0.643383779588669,0.3276735180220435,1477,1880
overall_risk_highvol,prob_overall_risk,actual_risk,고변동,0.65,0.7965179542981502,0.4955991875423155,0.6110183639398998,0.27375633005659816,1477,1880
overall_risk_highvol,prob_overall_risk,actual_risk,고변동,0.7,0.8326898326898327,0.4380501015572106,0.5740905057675244,0.23145665773011617,1477,1880
overall_risk_highvol,prob_overall_risk,actual_risk,고변동,0.75,0.8459119496855346,0.36425186188219366,0.5092285849503077,0.18945487042001788,1477,1880
overall_risk_highvol,prob_overall_risk,actual_risk,고변동,0.8,0.8662551440329218,0.28503723764387273,0.42893530310748856,0.1447721179624665,1477,1880
