,importance
ma200_slope_60,0.04161374544309772
ma_gap_50_200,0.040168403718418094
ma_gap_60_120,0.037440929567140346
trend_slope_60,0.03480447327711568
ma_gap_20_60,0.03335318194521755
price_ma_200_gap,0.033335450478123974
return_120d,0.03147877218317556
large_down_day_ratio_20,0.031149375162393717
drawdown_120,0.028970301053544253
trend_slope_20,0.026638889531746618
price_ma_60_gap,0.026002511270512618
price_ma_120_gap,0.025439261938796365
positive_return_ratio_60,0.024986974806662378
drawdown_60,0.02485635169586487
return_60d,0.024734281240399364
large_up_day_ratio_20,0.02249150612861761
return_20d,0.01859586871976932
trend_consistency_60,0.018034179543990503
price_position_60,0.017625649326472814
ma_gap_5_20,0.016655787346131528
price_position_10_minus_20,0.01659312340600508
positive_return_ratio_20,0.014539601273072566
close_to_60d_high,0.013294794653604756
trend_slope_10,0.012579988904120817
high_volume_down_ratio_20,0.011862802994314324
large_down_day_ratio_10,0.01099737159199676
return_10d,0.010817527940710692
drawdown_20,0.010730237029283943
large_up_day_ratio_10,0.01072275164367539
down_volume_ratio_20,0.010347766280463754
positive_return_ratio_10,0.010213182603899714
drawdown_10,0.010063720419649789
price_ma_20_gap,0.009970141961764893
ulcer_index_60,0.009912063352291627
vol_of_vol_20,0.00988042931614659
parkinson_vol_60,0.00951714748130681
price_position_5_minus_20,0.009507593562288787
parkinson_vol_20,0.009440550849587382
downside_vol_60,0.009027990659352267
yang_zhang_vol_60,0.008898654294755011
atr_pct_60,0.008861962177310667
trend_slope_5,0.008678905895683101
ewma_vol_60,0.008480374764867056
realized_vol_60,0.008166116633963922
ulcer_rank_252,0.007934049486364954
atr_rank_252,0.007891101666486567
realized_vol_20,0.007828157263104943
return_5d,0.0078115718564526326
yang_zhang_vol_20,0.007639854960851914
bb_width_rank_252,0.007611320127508076
bb_width_20,0.007570038571417073
garman_klass_vol_20,0.007298395154631009
ulcer_index_20,0.007213041828006078
drawdown_5,0.006970872465893031
atr_ratio_20_60,0.006597416320579773
downside_vol_20,0.006433645883887986
ewma_vol_20,0.006263098136904384
keltner_width_20,0.00615628624598611
realized_vol_ratio_10_20,0.006101867414088948
realized_vol_10,0.005860959254383854
price_position_20,0.005686160813170325
rogers_satchell_vol_20,0.0053746239749160995
atr_ratio_14_60,0.005191202583521867
trend_consistency_20,0.0050093214363483895
atr_pct_20,0.004966491516815822
downside_vol_10,0.004857141394997624
atr_pct_14,0.004428229835755981
semi_vol_10,0.004418960885283411
semi_vol_20,0.004412856624522074
price_position_10,0.004369176776659544
volume_ratio_20,0.004157138631545763
volume_zscore_20,0.003914463489506425
volume_shock_rank_252,0.0037891345288251555
atr_pct_10,0.0034613194239959846
close_to_20d_high,0.003206421025516219
atr_pct_5,0.003150997351072983
close_to_10d_high,0.0029574156280393867
true_range_pct,0.0013758767947118391
bearish_ma_stack,0.0006106969507450544
