feature,stage1_importance,downrisk_importance,mean_importance,max_importance,importance_gap_stage1_minus_downrisk,is_low_importance_candidate,used_more_by,stage1_rank,downrisk_rank,mean_rank
ma200_slope_60,0.014116232396133008,0.04161374544309772,0.027864988919615363,0.04161374544309772,-0.02749751304696471,False,downrisk,21,1,1
ma_gap_50_200,0.014600202100746895,0.040168403718418094,0.027384302909582495,0.040168403718418094,-0.025568201617671198,False,downrisk,17,2,2
drawdown_120,0.0247239299981355,0.028970301053544253,0.026847115525839876,0.028970301053544253,-0.004246371055408753,False,downrisk,5,9,3
ma_gap_60_120,0.014069058053705487,0.037440929567140346,0.025754993810422917,0.037440929567140346,-0.02337187151343486,False,downrisk,22,3,4
price_ma_200_gap,0.016518828840552096,0.033335450478123974,0.024927139659338036,0.033335450478123974,-0.016816621637571878,False,downrisk,12,6,5
trend_slope_60,0.012237786273479807,0.03480447327711568,0.023521129775297744,0.03480447327711568,-0.02256668700363587,False,downrisk,32,4,6
return_120d,0.014437041251868423,0.03147877218317556,0.022957906717521993,0.03147877218317556,-0.017041730931307137,False,downrisk,20,7,7
drawdown_60,0.02037102560199047,0.02485635169586487,0.02261368864892767,0.02485635169586487,-0.004485326093874403,False,downrisk,8,14,8
ma_gap_20_60,0.011398324713462941,0.03335318194521755,0.022375753329340248,0.03335318194521755,-0.02195485723175461,False,downrisk,40,5,9
atr_pct_20,0.03965901992030142,0.004966491516815822,0.022312755718558622,0.03965901992030142,0.0346925284034856,False,stage1,1,65,10
large_down_day_ratio_20,0.010646361603918079,0.031149375162393717,0.020897868383155896,0.031149375162393717,-0.020503013558475638,False,downrisk,43,8,11
price_ma_120_gap,0.015319215803405286,0.025439261938796365,0.020379238871100824,0.025439261938796365,-0.01012004613539108,False,downrisk,15,12,12
price_ma_60_gap,0.014508692264551802,0.026002511270512618,0.02025560176753221,0.026002511270512618,-0.011493819005960816,False,downrisk,19,11,13
