,importance
atr_pct_20,0.03965901992030142
semi_vol_20,0.03264555719631192
atr_pct_14,0.03023682776649135
keltner_width_20,0.026399149606674208
drawdown_120,0.0247239299981355
atr_pct_10,0.021735335503185595
atr_rank_252,0.02125937894027355
drawdown_60,0.02037102560199047
yang_zhang_vol_20,0.020195954638482016
downside_vol_20,0.01825809902497678
garman_klass_vol_20,0.017534654400417512
price_ma_200_gap,0.016518828840552096
down_volume_ratio_20,0.016046257754385892
parkinson_vol_20,0.015617821106432183
price_ma_120_gap,0.015319215803405286
atr_pct_60,0.014669454997183204
ma_gap_50_200,0.014600202100746895
close_to_60d_high,0.014508868251937201
price_ma_60_gap,0.014508692264551802
return_120d,0.014437041251868423
ma200_slope_60,0.014116232396133008
ma_gap_60_120,0.014069058053705487
semi_vol_10,0.013987117726246074
ulcer_index_20,0.013564593400674528
rogers_satchell_vol_20,0.013556364720566235
price_position_60,0.01330851707472094
atr_pct_5,0.013144430378772432
return_60d,0.013025149189435604
realized_vol_20,0.012899608689737746
ewma_vol_60,0.012748064440298577
drawdown_20,0.01247667915933042
trend_slope_60,0.012237786273479807
down_volume_ratio_10,0.012190605520911973
downside_vol_10,0.012148661039977996
atr_ratio_20_60,0.011884719667236029
ulcer_index_60,0.01186093611729106
ulcer_rank_252,0.011842554610738593
parkinson_vol_60,0.011814539512193906
downside_vol_60,0.011672219354613123
ma_gap_20_60,0.011398324713462941
yang_zhang_vol_60,0.011222129157099444
ewma_vol_20,0.011173755189601151
large_down_day_ratio_20,0.010646361603918079
atr_ratio_14_60,0.010523728657207111
price_ma_20_gap,0.01039247912841448
bb_width_rank_252,0.010357162171290145
high_volume_down_ratio_20,0.010350898938422831
trend_slope_20,0.010346860569962512
return_20d,0.010203684173445384
bb_width_20,0.010158368453977303
positive_return_ratio_60,0.010150132352132387
vol_of_vol_20,0.010110262494962958
price_position_20,0.010024984701481622
realized_vol_60,0.009908418845000034
ma_gap_5_20,0.009746919010077753
realized_vol_10,0.009476208637669703
close_to_20d_high,0.009461435084501448
trend_slope_10,0.009301701186770862
drawdown_10,0.009188492308383155
large_up_day_ratio_20,0.008595087914265663
return_10d,0.008508670719190073
realized_vol_ratio_10_20,0.008307895611136384
price_position_10_minus_20,0.007833509608543763
price_position_10,0.0077770311449101084
trend_consistency_60,0.007564774733697367
positive_return_ratio_20,0.007302953063637168
trend_slope_5,0.006792826756372238
high_volume_down_ratio_10,0.006669622586250914
return_5d,0.006498452459478387
drawdown_5,0.00646708457719479
return_5d_minus_20d,0.006364834778723311
return_10d_minus_20d,0.006243685059000799
positive_return_ratio_10,0.0061575404372036695
price_position_5_minus_20,0.005892562769271795
close_to_10d_high,0.005701110889345179
true_range_pct,0.005450670174885393
large_up_day_ratio_10,0.005214637601706532
large_down_day_ratio_10,0.005161122570710191
volume_shock_rank_252,0.004490199573439664
volume_ratio_20,0.003714287622162576
trend_consistency_20,0.003362711914272199
volume_zscore_20,0.0033579540097470892
bearish_ma_stack,0.0006353106148289664
