,importance
ma_gap_50_200,0.05759765258398912
ma200_slope_60,0.05310673404869343
ma_gap_60_120,0.049794468283560864
price_ma_200_gap,0.04529135163148379
trend_slope_60,0.0448638651933935
positive_return_ratio_60,0.04334458870635856
return_120d,0.04233947674196864
ma_gap_20_60,0.03773652978651669
drawdown_120,0.0373622811536142
price_ma_120_gap,0.03722363633763356
return_60d,0.03495744707447196
drawdown_60,0.034662378926961016
down_volume_ratio_20,0.03379308575226571
price_ma_60_gap,0.029736550570103444
high_volume_down_ratio_20,0.02947955624715957
trend_slope_20,0.02636795318620797
trend_consistency_60,0.025593234004364127
large_down_day_ratio_20,0.023763034293392955
close_to_60d_high,0.022781498927903907
price_position_60,0.021818618266104116
ma_gap_5_20,0.021754854981289044
trend_slope_10,0.018469656986463447
trend_slope_5,0.01711824708359523
return_20d,0.01642886820875916
price_ma_20_gap,0.01623848599861265
positive_return_ratio_20,0.016226415891160573
price_position_20,0.013926984657513141
price_position_10_minus_20,0.012904309083260448
return_10d,0.012834720169300295
return_5d,0.01257897121531497
large_up_day_ratio_20,0.012359197814519229
volume_shock_rank_252,0.01205336065622904
volume_ratio_20,0.011080895718011546
positive_return_ratio_10,0.010819234102532464
drawdown_10,0.009399821343582257
drawdown_20,0.008950290235733273
volume_zscore_20,0.008492246297551208
price_position_5_minus_20,0.007607189448742521
price_position_10,0.007365398108035267
drawdown_5,0.0060943700312864595
large_down_day_ratio_10,0.004290315293936088
large_up_day_ratio_10,0.0035913567121569363
trend_consistency_20,0.0025713817634072807
close_to_10d_high,0.0022285709689770427
close_to_20d_high,0.001977798545600048
bearish_ma_stack,0.0010231162462058284
