,importance
trend_slope_60,0.048691724016357005
ma_gap_20_60,0.04699634802356798
ma_gap_60_120,0.04584694902471725
ma_gap_50_200,0.04568656275255813
ma200_slope_60,0.043268265732977956
positive_return_ratio_60,0.04124449637888502
trend_consistency_60,0.04097347486660712
return_120d,0.040480601662744045
price_ma_120_gap,0.039515942560106015
price_ma_200_gap,0.038181784211672724
return_60d,0.038026053916722063
trend_slope_20,0.03742690484068589
drawdown_120,0.03174257865693006
large_down_day_ratio_20,0.029128381510316912
price_ma_60_gap,0.028998914031757205
ma_gap_5_20,0.026712948421759176
positive_return_ratio_20,0.026624471705410598
return_20d,0.026484309877502263
trend_slope_10,0.02399337204813145
large_up_day_ratio_20,0.022684281885761135
price_position_10_minus_20,0.0218440100598234
price_position_60,0.021173732676996022
price_ma_20_gap,0.020707645324277803
return_10d,0.02029762775378509
drawdown_20,0.01972951768506651
positive_return_ratio_10,0.018786856047391044
drawdown_60,0.017352418606259606
price_position_20,0.015314471345701595
drawdown_10,0.014970551985907294
trend_slope_5,0.013997760039129635
return_5d,0.012882680364869191
large_up_day_ratio_10,0.012716967001786485
trend_consistency_20,0.012101934068754965
large_down_day_ratio_10,0.010785104419771834
price_position_10,0.01049932577538245
price_position_5_minus_20,0.009867683053709612
drawdown_5,0.008338489381703623
close_to_20d_high,0.005792585458414304
close_to_10d_high,0.005066684650493756
close_to_60d_high,0.004641582406798584
bearish_ma_stack,0.00042400307517262203
