model,prob_col,actual_col,positive_value,threshold,precision,recall,f1,pred_positive_ratio,support_positive,support_negative
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.1,0.47571942446043164,0.9987413467589679,0.6444670050761422,0.9937444146559428,1589,1768
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.15,0.4877519379844961,0.9899307740717432,0.6535105941005401,0.9606791778373548,1589,1768
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.2,0.5073891625615764,0.9723096286972939,0.6668105308588692,0.9070598748882931,1589,1768
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.25,0.5338484179543782,0.9131529263687854,0.6737868586022754,0.8096514745308311,1589,1768
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.3,0.5657894736842105,0.8659534298300818,0.684406863964188,0.7244563598450998,1589,1768
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.35,0.5967078189300411,0.8212712397734424,0.691207627118644,0.6514745308310992,1589,1768
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.4,0.6357106208311954,0.7797356828193832,0.7003957037874505,0.5805778969317843,1589,1768
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.45,0.6676487919858574,0.7130270610446822,0.689592209373098,0.505510872803098,1589,1768
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.5,0.7034529451591063,0.6538703587161737,0.6777560339204175,0.4399761691986893,1589,1768
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.55,0.7314814814814815,0.5966016362492134,0.6571923743500867,0.38605898123324395,1589,1768
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.6,0.7628596338273758,0.5506607929515418,0.6396198830409356,0.34167411379207624,1589,1768
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.65,0.7908163265306123,0.48772813089993705,0.6033476060724017,0.29192731605600236,1589,1768
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.7,0.8187274909963985,0.4292007551919446,0.5631709331131296,0.24813821864760202,1589,1768
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.75,0.858806404657933,0.3713027061044682,0.5184534270650264,0.20464700625558535,1589,1768
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.8,0.88,0.27690371302706107,0.421254188606989,0.14894250819183796,1589,1768
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.85,0.9102990033222591,0.1724354940213971,0.28994708994708995,0.08966338993148644,1589,1768
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.9,0.9104477611940298,0.03838892385147892,0.07367149758454106,0.019958296097706284,1589,1768
overall_risk_highvol,prob_overall_risk,actual_risk,고변동,0.1,0.47571942446043164,0.9987413467589679,0.6444670050761422,0.9937444146559428,1589,1768
overall_risk_highvol,prob_overall_risk,actual_risk,고변동,0.15,0.4877519379844961,0.9899307740717432,0.6535105941005401,0.9606791778373548,1589,1768
overall_risk_highvol,prob_overall_risk,actual_risk,고변동,0.2,0.5073891625615764,0.9723096286972939,0.6668105308588692,0.9070598748882931,1589,1768
overall_risk_highvol,prob_overall_risk,actual_risk,고변동,0.25,0.5338484179543782,0.9131529263687854,0.6737868586022754,0.8096514745308311,1589,1768
overall_risk_highvol,prob_overall_risk,actual_risk,고변동,0.3,0.5657894736842105,0.8659534298300818,0.684406863964188,0.7244563598450998,1589,1768
overall_risk_highvol,prob_overall_risk,actual_risk,고변동,0.35,0.5967078189300411,0.8212712397734424,0.691207627118644,0.6514745308310992,1589,1768
overall_risk_highvol,prob_overall_risk,actual_risk,고변동,0.4,0.6357106208311954,0.7797356828193832,0.7003957037874505,0.5805778969317843,1589,1768
overall_risk_highvol,prob_overall_risk,actual_risk,고변동,0.45,0.6676487919858574,0.7130270610446822,0.689592209373098,0.505510872803098,1589,1768
overall_risk_highvol,prob_overall_risk,actual_risk,고변동,0.5,0.7034529451591063,0.6538703587161737,0.6777560339204175,0.4399761691986893,1589,1768
overall_risk_highvol,prob_overall_risk,actual_risk,고변동,0.55,0.7314814814814815,0.5966016362492134,0.6571923743500867,0.38605898123324395,1589,1768
overall_risk_highvol,prob_overall_risk,actual_risk,고변동,0.6,0.7628596338273758,0.5506607929515418,0.6396198830409356,0.34167411379207624,1589,1768
overall_risk_highvol,prob_overall_risk,actual_risk,고변동,0.65,0.7908163265306123,0.48772813089993705,0.6033476060724017,0.29192731605600236,1589,1768
overall_risk_highvol,prob_overall_risk,actual_risk,고변동,0.7,0.8187274909963985,0.4292007551919446,0.5631709331131296,0.24813821864760202,1589,1768
overall_risk_highvol,prob_overall_risk,actual_risk,고변동,0.75,0.858806404657933,0.3713027061044682,0.5184534270650264,0.20464700625558535,1589,1768
overall_risk_highvol,prob_overall_risk,actual_risk,고변동,0.8,0.88,0.27690371302706107,0.421254188606989,0.14894250819183796,1589,1768
overall_risk_highvol,prob_overall_risk,actual_risk,고변동,0.85,0.9102990033222591,0.1724354940213971,0.28994708994708995,0.08966338993148644,1589,1768
overall_risk_highvol,prob_overall_risk,actual_risk,고변동,0.9,0.9104477611940298,0.03838892385147892,0.07367149758454106,0.019958296097706284,1589,1768
down_strength_score,prob_down_strengthening_score,actual_direction_strength_20d,DOWN_STRENGTHENING,0.1,0.16508238276299111,0.8905982905982905,0.2785351510291366,0.9401251117068812,585,2772
down_strength_score,prob_down_strengthening_score,actual_direction_strength_20d,DOWN_STRENGTHENING,0.15,0.16775749224939718,0.8324786324786325,0.27924311926605505,0.8647602025618112,585,2772
down_strength_score,prob_down_strengthening_score,actual_direction_strength_20d,DOWN_STRENGTHENING,0.2,0.17331768388106417,0.7572649572649572,0.28207577204711876,0.7613941018766756,585,2772
down_strength_score,prob_down_strengthening_score,actual_direction_strength_20d,DOWN_STRENGTHENING,0.25,0.17676537585421412,0.6632478632478632,0.27913669064748203,0.6538576109621687,585,2772
down_strength_score,prob_down_strengthening_score,actual_direction_strength_20d,DOWN_STRENGTHENING,0.3,0.17670454545454545,0.5316239316239316,0.2652452025586354,0.5242776288352696,585,2772
down_strength_score,prob_down_strengthening_score,actual_direction_strength_20d,DOWN_STRENGTHENING,0.35,0.15948275862068967,0.37948717948717947,0.22458270106221548,0.41465594280607687,585,2772
down_strength_score,prob_down_strengthening_score,actual_direction_strength_20d,DOWN_STRENGTHENING,0.4,0.14177693761814744,0.2564102564102564,0.18259281801582472,0.3151623473339291,585,2772
down_strength_score,prob_down_strengthening_score,actual_direction_strength_20d,DOWN_STRENGTHENING,0.45,0.14728682170542637,0.19487179487179487,0.16777041942604856,0.23056300268096513,585,2772
