,importance
ma_gap_60_120,0.052680725660470745
ma200_slope_60,0.05065621578297208
ma_gap_50_200,0.04939600314560627
price_ma_120_gap,0.04763640871175402
price_ma_200_gap,0.04605219224726574
trend_slope_60,0.04552057381864408
ma_gap_20_60,0.04388732448892875
return_120d,0.042849341582041234
drawdown_120,0.038090486484829204
price_ma_60_gap,0.03785872473178195
down_volume_ratio_20,0.031951230004576954
trend_slope_20,0.031822848186002665
positive_return_ratio_20,0.029827097857681412
return_60d,0.029792697191522974
positive_return_ratio_60,0.026148430678967133
price_position_60,0.025908844511760103
ma_gap_5_20,0.024136459013024004
drawdown_60,0.023954128740158575
high_volume_down_ratio_20,0.023475931355856048
large_up_day_ratio_20,0.02061437090055228
large_up_day_ratio_10,0.020522954004552466
price_ma_20_gap,0.01958515229708855
large_down_day_ratio_20,0.019559701478722255
return_20d,0.018075701819696637
trend_slope_10,0.015439487887927079
trend_consistency_60,0.014149159998706883
close_to_60d_high,0.01256296775370304
positive_return_ratio_10,0.01234983559905751
drawdown_10,0.011891378009519058
price_position_10_minus_20,0.011778399701662627
drawdown_20,0.01122259015530636
price_position_20,0.011001415082737656
return_10d,0.010999545369168839
trend_slope_5,0.01062571405048994
return_5d,0.009828745038710564
volume_zscore_20,0.009167350014635419
trend_consistency_20,0.00885069381356949
price_position_5_minus_20,0.0068994511088858995
volume_ratio_20,0.0068582307849571825
volume_shock_rank_252,0.00679763907655364
large_down_day_ratio_10,0.00635178763389824
price_position_10,0.00572779210328701
drawdown_5,0.005188575102938413
bearish_ma_stack,0.004923930136664282
close_to_20d_high,0.00370043595247562
close_to_10d_high,0.0036813295367802124
