,importance
ulcer_index_60,0.04415628813957381
downside_vol_60,0.04052220725931138
realized_vol_60,0.0401746219965086
yang_zhang_vol_60,0.0400287567242938
downside_vol_20,0.03936426283555539
parkinson_vol_60,0.03781095310818822
atr_rank_252,0.03776743246121369
atr_pct_60,0.03755560616812704
ewma_vol_60,0.035738473087327464
bb_width_20,0.03494548657279608
ulcer_rank_252,0.03338551051384125
vol_of_vol_20,0.03333433178236841
atr_ratio_14_60,0.03304940525658677
bb_width_rank_252,0.03288785008047102
atr_ratio_20_60,0.03276340492465395
realized_vol_20,0.032382107182384635
ulcer_index_20,0.032175765291275825
semi_vol_20,0.030962188713832772
yang_zhang_vol_20,0.030640224272174364
garman_klass_vol_20,0.028673348924568264
downside_vol_10,0.028365927372255503
realized_vol_10,0.02825662674195695
rogers_satchell_vol_20,0.028055380322055297
ewma_vol_20,0.026916736685388104
parkinson_vol_20,0.025879511255432534
realized_vol_ratio_10_20,0.02565901149137062
semi_vol_10,0.023710410877067753
atr_pct_10,0.02140318157730762
keltner_width_20,0.0195955556465335
atr_pct_5,0.019244287526990297
atr_pct_14,0.018523197957735632
atr_pct_20,0.016224904806308803
true_range_pct,0.00984704545842919
