,importance
ma_gap_60_120,0.042938009657922924
ma200_slope_60,0.042075736272159873
trend_slope_60,0.04189121875531292
ma_gap_50_200,0.041837734062158106
return_120d,0.040722922492593155
ma_gap_20_60,0.038096995969305956
price_ma_200_gap,0.037111871542976356
price_ma_120_gap,0.03705578289973634
return_60d,0.03378894121765154
positive_return_ratio_60,0.032012543702966655
down_volume_ratio_20,0.031317761293966635
price_ma_60_gap,0.029847165274755783
high_volume_down_ratio_20,0.027755495201240085
trend_slope_20,0.027046722487825935
large_down_day_ratio_20,0.02654109752112408
price_position_60,0.026025022710994578
drawdown_60,0.024660566036930374
ma_gap_5_20,0.024573242184285644
positive_return_ratio_20,0.02368829070462472
return_20d,0.021687257043219964
drawdown_120,0.02141358681598961
large_up_day_ratio_20,0.02107425410652049
large_up_day_ratio_10,0.020558381265829435
trend_consistency_60,0.019625357528668015
price_ma_20_gap,0.018263855899642786
trend_slope_10,0.01782721681152611
drawdown_10,0.017214989847580287
positive_return_ratio_10,0.017073672720658895
close_to_60d_high,0.017044408175270146
return_10d,0.016750874038337762
drawdown_20,0.01674209437113036
trend_slope_5,0.015339091864353534
price_position_10_minus_20,0.01458518189974621
return_5d,0.012864894302361386
volume_ratio_20,0.012007435707230812
volume_shock_rank_252,0.010698916357276695
price_position_20,0.010625723409017183
volume_zscore_20,0.010033265391232109
price_position_5_minus_20,0.009804680520617347
price_position_10,0.009748879243921866
drawdown_5,0.00935486345337094
trend_consistency_20,0.009127267254457581
large_down_day_ratio_10,0.008169022475143835
close_to_10d_high,0.005735892786798927
close_to_20d_high,0.005087523761349509
bearish_ma_stack,0.002554293465624459
