,importance
ma_gap_60_120,0.03684989696170854
atr_rank_252,0.036253692784359574
realized_vol_20,0.035515235675986676
return_120d,0.03530537161448535
ma200_slope_60,0.03423847720056536
ma_gap_50_200,0.03325515058298202
price_ma_200_gap,0.033033906114435505
atr_pct_10,0.03110041930484017
atr_pct_14,0.029364855684449024
positive_return_ratio_60,0.028780004373864302
price_ma_120_gap,0.028613059964314628
ma_gap_20_60,0.026757087030827756
drawdown_20,0.026593716528522136
semi_vol_20,0.02652080600426647
trend_slope_60,0.02572899190064553
bb_width_20,0.02391337789808786
ewma_vol_20,0.02313916122098846
trend_consistency_60,0.02216186984289726
drawdown_120,0.021965848302103935
atr_pct_20,0.02185891283220877
down_volume_ratio_20,0.021344350763048702
price_ma_60_gap,0.020597872595230694
ulcer_index_20,0.020177573383027683
large_up_day_ratio_20,0.019559076884188616
price_position_60,0.018825774642987344
return_60d,0.018473913843355682
trend_slope_20,0.018105852480153943
drawdown_60,0.016176873224053236
price_ma_20_gap,0.016103489463588746
close_to_20d_high,0.015691857728164733
high_volume_down_ratio_20,0.01489386614510237
trend_slope_10,0.014645033179418995
return_20d,0.014599185381412676
return_5d_minus_20d,0.014347180378795852
price_position_20,0.014343725437833027
ma_gap_5_20,0.013304213064585051
positive_return_ratio_20,0.013104868315528461
return_10d,0.012691759766283443
return_10d_minus_20d,0.01214450497030027
drawdown_10,0.011716380109155869
large_down_day_ratio_20,0.011395965244042195
return_5d,0.010376823052017776
positive_return_ratio_10,0.009981775704589035
volume_ratio_20,0.009977133765315803
close_to_60d_high,0.008503622141962831
price_position_10,0.008425360402375263
large_up_day_ratio_10,0.008035429173221004
volume_zscore_20,0.00733264346636422
trend_slope_5,0.007208115790447101
large_down_day_ratio_10,0.00620823842041679
trend_consistency_20,0.006113186054068455
close_to_10d_high,0.004644513051653843
