model,prob_col,actual_col,positive_value,threshold,precision,recall,f1,pred_positive_ratio,support_positive,support_negative
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.1,0.44336175395858707,0.9871186440677966,0.6118932548854802,0.9782543938039917,1475,1882
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.15,0.4702774108322325,0.9654237288135593,0.6324672440595159,0.9019958296097706,1475,1882
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.2,0.4954561977462741,0.9240677966101695,0.6450544249881685,0.8194816800714924,1475,1882
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.25,0.5322381930184805,0.8786440677966102,0.6629156010230179,0.7253500148942508,1475,1882
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.3,0.5671296296296297,0.8305084745762712,0.6740027510316369,0.6434316353887399,1475,1882
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.35,0.6039094650205762,0.7959322033898305,0.6867505118455689,0.579088471849866,1475,1882
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.4,0.6368271954674221,0.7620338983050847,0.6938271604938272,0.5257670539171879,1475,1882
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.45,0.6581885856079405,0.7193220338983051,0.687398769031422,0.48019064641048553,1475,1882
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.5,0.6894664842681258,0.6833898305084746,0.686414708886619,0.43550789395293416,1475,1882
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.55,0.7115677321156774,0.6338983050847458,0.6704912154894227,0.3914209115281501,1475,1882
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.6,0.7454228421970357,0.5796610169491525,0.6521739130434783,0.34167411379207624,1475,1882
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.65,0.7775510204081633,0.5166101694915254,0.6207739307535641,0.29192731605600236,1475,1882
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.7,0.8125,0.46711864406779663,0.5931984502798106,0.25260649389335715,1475,1882
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.75,0.8264462809917356,0.4067796610169492,0.5452067242162654,0.2162645218945487,1475,1882
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.8,0.8547008547008547,0.3389830508474576,0.4854368932038835,0.1742627345844504,1475,1882
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.85,0.8925233644859814,0.25898305084745765,0.40147136100893327,0.12749478701221328,1475,1882
stage1_ensemble,prob_high_vol,actual_risk,고변동,0.9,0.925764192139738,0.14372881355932204,0.24882629107981222,0.06821566875186179,1475,1882
overall_risk_highvol,prob_overall_risk,actual_risk,고변동,0.1,0.44336175395858707,0.9871186440677966,0.6118932548854802,0.9782543938039917,1475,1882
overall_risk_highvol,prob_overall_risk,actual_risk,고변동,0.15,0.4702774108322325,0.9654237288135593,0.6324672440595159,0.9019958296097706,1475,1882
overall_risk_highvol,prob_overall_risk,actual_risk,고변동,0.2,0.4954561977462741,0.9240677966101695,0.6450544249881685,0.8194816800714924,1475,1882
overall_risk_highvol,prob_overall_risk,actual_risk,고변동,0.25,0.5322381930184805,0.8786440677966102,0.6629156010230179,0.7253500148942508,1475,1882
overall_risk_highvol,prob_overall_risk,actual_risk,고변동,0.3,0.5671296296296297,0.8305084745762712,0.6740027510316369,0.6434316353887399,1475,1882
overall_risk_highvol,prob_overall_risk,actual_risk,고변동,0.35,0.6039094650205762,0.7959322033898305,0.6867505118455689,0.579088471849866,1475,1882
overall_risk_highvol,prob_overall_risk,actual_risk,고변동,0.4,0.6368271954674221,0.7620338983050847,0.6938271604938272,0.5257670539171879,1475,1882
overall_risk_highvol,prob_overall_risk,actual_risk,고변동,0.45,0.6581885856079405,0.7193220338983051,0.687398769031422,0.48019064641048553,1475,1882
overall_risk_highvol,prob_overall_risk,actual_risk,고변동,0.5,0.6894664842681258,0.6833898305084746,0.686414708886619,0.43550789395293416,1475,1882
overall_risk_highvol,prob_overall_risk,actual_risk,고변동,0.55,0.7115677321156774,0.6338983050847458,0.6704912154894227,0.3914209115281501,1475,1882
